1522110521.537216000	0	1412	1
1522110521.537441000	0.000225067	365	1
1522110521.537538000	0.000322104	131	1
1522110521.583781000	0.0465651	1412	0
1522110521.584430000	0.047214	103	1
1522110521.584546000	0.0473301	97	1
1522110521.589142000	0.0519261	93	0
1522110521.592209000	0.0549932	92	0
1522110521.594226000	0.0570099	150	0
1522110521.594418000	0.0572021	103	1
1522110521.633210000	0.095994	95	0
1522110521.708719000	0.171503	761	1
1522110521.709683000	0.172467	669	1
1522110521.771222000	0.234006	92	0
1522110521.802224000	0.265008	1412	0
1522110521.802227000	0.265011	1412	0
1522110521.802230000	0.265014	1412	0
1522110521.802507000	0.265291	106	1
1522110521.802550000	0.265334	1412	0
1522110521.802552000	0.265336	1412	0
1522110521.802792000	0.265576	1412	0
1522110521.802794000	0.265578	1412	0
1522110521.802814000	0.265598	100	1
1522110521.802873000	0.265657	100	1
1522110521.802905000	0.265689	1412	0
1522110521.802987000	0.265771	100	1
1522110521.803216000	0.266	1412	0
1522110521.804222000	0.267006	1412	0
1522110521.804224000	0.267008	1412	0
1522110521.804227000	0.267011	1412	0
1522110521.804231000	0.267015	1412	0
1522110521.804508000	0.267292	100	1
1522110521.804554000	0.267338	100	1
1522110521.805219000	0.268003	1412	0
1522110521.805984000	0.268768	100	1
1522110521.806220000	0.269004	1412	0
1522110521.806222000	0.269006	1412	0
1522110521.806366000	0.26915	100	1
1522110521.807938000	0.270722	1412	0
1522110521.808219000	0.271003	1412	0
1522110521.808743000	0.271527	100	1
1522110521.808765000	0.271549	1412	0
1522110521.810746000	0.27353	1412	0
1522110521.810893000	0.273677	100	1
1522110521.811219000	0.274003	1412	0
1522110521.811222000	0.274006	1412	0
1522110521.811378000	0.274162	100	1
1522110521.811419000	0.274203	1412	0
1522110521.812508000	0.275292	1412	0
1522110521.813219000	0.276003	1412	0
1522110521.813640000	0.276424	100	1
1522110521.814223000	0.277007	1412	0
1522110521.814446000	0.27723	100	1
1522110521.815224000	0.278008	1412	0
1522110521.816227000	0.279011	1412	0
1522110521.816230000	0.279014	1412	0
1522110521.816233000	0.279017	1412	0
1522110521.816392000	0.279176	100	1
1522110521.816453000	0.279237	100	1
1522110521.818226000	0.28101	1412	0
1522110521.818230000	0.281014	1412	0
1522110521.818563000	0.281347	100	1
1522110521.819221000	0.282005	1412	0
1522110521.820223000	0.283007	1412	0
1522110521.820225000	0.283009	1412	0
1522110521.820333000	0.283117	100	1
1522110521.821222000	0.284006	1412	0
1522110521.821225000	0.284009	1412	0
1522110521.821227000	0.284011	1412	0
1522110521.821403000	0.284187	100	1
1522110521.821457000	0.284241	100	1
1522110521.822220000	0.285004	1412	0
1522110521.823228000	0.286012	1412	0
1522110521.823231000	0.286015	1412	0
